"","Year","Period","State","State ANSI","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES"
"186",2021,"JUL THRU SEP","ARIZONA","04",2000,31000,2700,6500,21,0.7,5.4,6.6,1.5,10.6,20.3,2300,7,31000
"187",2021,"JUL THRU SEP","ARKANSAS","05",2400,20000,300,1800,9,3.2,5.8,30.6,32.9,4.9,42.3,1700,9,20000
"188",2021,"JUL THRU SEP","CALIFORNIA","06",47000,680000,10500,25000,4,14.2,11,13,16.5,5,39.6,51000,8,650000
"189",2021,"JUL THRU SEP","COLORADO","08",1500,22000,350,1700,8,2.9,6.4,0,NA,0.8,7.8,750,3,22000
"190",2021,"JUL THRU SEP","CONNECTICUT","09",140,4200,30,120,3,0.7,2.4,3.9,0.8,5.9,16.4,170,4,4200
"191",2021,"JUL THRU SEP","FLORIDA","12",34000,255000,10000,39000,15,7.1,11.4,14.1,20.5,8.7,43.4,27000,11,235000
"192",2021,"JUL THRU SEP","GEORGIA","13",28000,123000,6500,22000,18,4.8,13.4,12,32.2,7.6,63.9,35000,28,116000
"193",2021,"JUL THRU SEP","HAWAII","15",100,21000,0,1100,5,NA,0,18,19,0.9,29.6,520,2,21000
"194",2021,"JUL THRU SEP","IDAHO","16",7000,135000,1000,3500,3,2.6,7,7,1.8,1.5,55.2,3000,2,86000
"195",2021,"JUL THRU SEP","ILLINOIS","17",640,14500,170,680,5,1.4,4.4,3.3,9.5,5.7,37.7,1200,8,14500
"196",2021,"JUL THRU SEP","INDIANA","18",770,16500,40,1700,10,5.2,1.9,17.4,23.7,2.3,39.3,1400,8,16500
"197",2021,"JUL THRU SEP","IOWA","19",1000,54000,60,4500,8,2.8,NA,5.9,1.6,2.2,7.5,130,NA,37000
"198",2021,"JUL THRU SEP","KANSAS","20",500,9000,450,1600,18,10.1,17.7,14.9,31.1,14.7,66.8,1300,14,9000
"199",2021,"JUL THRU SEP","KENTUCKY","21",900,10500,150,1100,10,0.6,1.2,NA,18.2,11,39.4,740,7,10500
"200",2021,"JUL THRU SEP","LOUISIANA","22",1300,31000,1400,2300,7,0,0.6,0,2.3,6,8,2800,9,29000
"201",2021,"JUL THRU SEP","MAINE","23",380,10000,50,1400,14,NA,17,5,0,0,18.7,210,2,10000
"202",2021,"JUL THRU SEP","MARYLAND","24",300,6000,320,490,8,NA,0.7,0.5,13.6,1.5,20,170,3,6000
"203",2021,"JUL THRU SEP","MASSACHUSETTS","25",1700,13000,20,1100,8,0.6,0.5,1.5,8.7,4.5,23,1200,9,13000
"204",2021,"JUL THRU SEP","MICHIGAN","26",7500,120000,2800,8500,7,NA,2.7,17,4.2,0.8,63.5,4800,4,120000
"205",2021,"JUL THRU SEP","MINNESOTA","27",5000,106000,2300,7000,7,NA,2.3,10.5,1.1,1.8,27.5,1300,1,106000
"206",2021,"JUL THRU SEP","MISSISSIPPI","28",770,18500,460,1900,10,1.3,3,NA,1.1,7.8,25.3,310,2,18500
"207",2021,"JUL THRU SEP","MISSOURI","29",420,7000,50,480,7,NA,2.1,1.3,14.4,8.7,24,900,13,6500
"208",2021,"JUL THRU SEP","MONTANA","30",870,114000,670,6000,5,1.2,14.8,NA,1.5,0.5,19.5,7500,7,103000
"209",2021,"JUL THRU SEP","NEBRASKA","31",1200,49000,480,6000,12,NA,3.2,1.8,NA,1.8,13.7,1800,4,45000
"210",2021,"JUL THRU SEP","NEW JERSEY","34",390,19500,40,400,2,NA,0.7,1.8,4.9,1.9,10.7,480,2,19500
"211",2021,"JUL THRU SEP","NEW MEXICO","35",40,5500,10,30,1,1.1,0,0,4.4,0,22.5,130,2,5500
"212",2021,"JUL THRU SEP","NEW YORK","36",2200,67000,2200,5500,8,3,11.8,5.6,14.1,11.2,37.7,5000,7,62000
"213",2021,"JUL THRU SEP","NORTH CAROLINA","37",3800,25000,730,3000,12,0.9,6.6,NA,10.4,1,29.3,2200,9,23000
"214",2021,"JUL THRU SEP","NORTH DAKOTA","38",7500,580000,1800,67000,12,2.2,7,4.1,6.1,5.5,31.7,14500,3,510000
"215",2021,"JUL THRU SEP","OHIO","39",1300,21000,450,1700,8,0.7,8.2,23,49.9,4.1,78.7,4100,20,21000
"216",2021,"JUL THRU SEP","OKLAHOMA","40",340,3300,80,260,8,0.5,6.2,NA,9.4,1.4,14.5,20,1,3300
"217",2021,"JUL THRU SEP","OREGON","41",9000,132000,4100,14000,11,3.4,9.6,10.9,8.4,1.3,39.4,13500,10,130000
"218",2021,"JUL THRU SEP","OTHER STATES",NA,210,10990,NA,530,5,NA,4.6,11,10.9,2.2,31.7,1460,13,8890
"219",2021,"JUL THRU SEP","PENNSYLVANIA","42",740,28000,350,1600,6,1,4.2,2.6,15.3,3.8,40.5,980,4,25000
"220",2021,"JUL THRU SEP","SOUTH CAROLINA","45",2500,20000,90,2200,11,2.8,4.3,1.3,5.3,3.2,15.8,460,2,17000
"221",2021,"JUL THRU SEP","SOUTH DAKOTA","46",7000,235000,470,29000,12,1.1,14.1,3.9,4.6,1.3,18.3,3100,1,230000
"222",2021,"JUL THRU SEP","TENNESSEE","47",850,15500,230,1100,7,NA,1.8,0.7,11.6,NA,16,740,5,13500
"223",2021,"JUL THRU SEP","TEXAS","48",3100,144000,18500,4000,3,0.5,4.4,4.4,6,0.5,20.2,6000,4,138000
"224",2021,"JUL THRU SEP","UTAH","49",2200,37000,340,2900,8,NA,1.9,3.9,NA,0.5,40,1900,5,37000
"225",2021,"JUL THRU SEP","VERMONT","50",310,7000,0,10,NA,1.5,1.6,0,3,0.6,25.4,100,1,7000
"226",2021,"JUL THRU SEP","VIRGINIA","51",530,10500,330,890,8,0.9,4.6,0.8,12.1,1.9,19.2,750,7,10500
"227",2021,"JUL THRU SEP","WASHINGTON","53",4300,79000,1500,4900,6,4.9,12.7,2.3,2.2,1.6,34.3,15500,20,72000
"228",2021,"JUL THRU SEP","WEST VIRGINIA","54",320,8000,180,570,7,10.2,2.8,9.9,15.1,1.2,24.7,220,3,8000
"229",2021,"JUL THRU SEP","WISCONSIN","55",1500,66000,2100,7000,11,20.3,15.3,31.2,36.8,8,56,4300,7,66000
"230",2021,"JUL THRU SEP","WYOMING","56",430,36000,410,2200,6,NA,0.8,0.5,NA,0.8,4.7,3900,11,27000
"231",2021,"OCT THRU DEC","ALABAMA","01",360,9000,160,1100,12,3.5,2.5,6.8,44.7,1.4,60.8,10,NA,9000
"232",2021,"OCT THRU DEC","ARIZONA","04",7500,23000,380,5500,24,NA,1.8,3.3,35.2,0.9,67.2,NA,0,23000
"233",2021,"OCT THRU DEC","ARKANSAS","05",920,18000,250,480,3,0,0.6,25.6,28.2,0.7,35.7,100,1,18000
"234",2021,"OCT THRU DEC","CALIFORNIA","06",15000,1210000,10000,50000,4,3.7,2.8,1.9,4.8,2,14.6,29000,2,640000
"235",2021,"OCT THRU DEC","COLORADO","08",200,13000,1300,1600,12,0,2.6,NA,NA,3.7,4.6,NA,0,12000
"236",2021,"OCT THRU DEC","CONNECTICUT","09",140,4000,90,180,5,0.6,0.6,0.6,0.6,2.8,20.6,130,3,4000
"237",2021,"OCT THRU DEC","FLORIDA","12",20000,310000,10500,38000,12,5.9,8.8,9.1,19,13.6,28.9,11000,4,255000
"238",2021,"OCT THRU DEC","GEORGIA","13",12500,132000,7500,24000,18,0.5,5.7,7.8,24.7,7.2,41,12000,9,131000
"239",2021,"OCT THRU DEC","HAWAII","15",1100,20000,0,100,1,19.7,0,0,64.2,0,66.1,530,3,20000
"240",2021,"OCT THRU DEC","IDAHO","16",250,230000,10500,22000,10,4.9,4,12,8,11.2,58.1,4300,2,141000
"241",2021,"OCT THRU DEC","ILLINOIS","17",180,12500,340,1300,10,2.4,2.3,1.4,9.1,7.2,31.9,810,6,12500
"242",2021,"OCT THRU DEC","INDIANA","18",130,14500,180,1700,12,11.3,1.5,21.3,19.6,1.9,43.6,2400,17,14500
"243",2021,"OCT THRU DEC","IOWA","19",170,51000,2100,4000,8,0.9,1,17,1.2,1.7,17.9,90,NA,51000
"244",2021,"OCT THRU DEC","KANSAS","20",140,8000,200,2100,26,1.5,14.6,15.5,20.1,13.9,30.5,50,1,8000
"245",2021,"OCT THRU DEC","KENTUCKY","21",120,10500,160,880,8,2.3,13.2,NA,39,12,54.1,460,4,10500
"246",2021,"OCT THRU DEC","LOUISIANA","22",1400,36000,450,2800,8,0,NA,NA,5.4,5.3,28.2,1300,4,30000
"247",2021,"OCT THRU DEC","MAINE","23",70,5500,30,700,13,0,15.2,0,18.1,2,29.3,160,3,5500
"248",2021,"OCT THRU DEC","MARYLAND","24",1200,6000,120,720,12,NA,3.1,0,12.2,0.7,21.2,NA,0,5500
"249",2021,"OCT THRU DEC","MASSACHUSETTS","25",20,10500,20,290,3,0.5,NA,0,NA,0.6,5.4,50,NA,10500
"250",2021,"OCT THRU DEC","MICHIGAN","26",140,105000,1000,6000,6,0,0.9,3.1,2.2,1.5,8.7,2200,2,105000
"251",2021,"OCT THRU DEC","MINNESOTA","27",4900,1e+05,1900,10500,11,0,0.6,3.4,NA,1.4,8,350,NA,1e+05
"252",2021,"OCT THRU DEC","MISSISSIPPI","28",30,23000,600,3000,13,0,NA,5.8,8.6,8.3,27.8,240,1,15500
"253",2021,"OCT THRU DEC","MISSOURI","29",190,7500,260,590,8,NA,1.3,1.1,6.3,0.8,17.3,120,2,6000
"254",2021,"OCT THRU DEC","MONTANA","30",3200,102000,180,17000,17,3.1,4.9,0,2.9,NA,27.2,8000,8,92000
"255",2021,"OCT THRU DEC","NEBRASKA","31",10,43000,2200,7500,17,2.8,1.8,4.2,1.5,NA,28,250,1,43000
"256",2021,"OCT THRU DEC","NEW JERSEY","34",350,19500,0,430,2,NA,NA,0,5.9,NA,8.6,NA,0,19500
"257",2021,"OCT THRU DEC","NEW MEXICO","35",2000,5500,0,1900,35,0,NA,14.1,44.4,0.7,65.6,NA,0,5500
"258",2021,"OCT THRU DEC","NEW YORK","36",440,66000,1900,21000,32,1,13.6,1.3,34.5,3.5,48,26000,39,65000
"259",2021,"OCT THRU DEC","NORTH CAROLINA","37",260,22000,1900,2100,10,0,NA,NA,1.4,5.1,24.1,360,2,21000
"260",2021,"OCT THRU DEC","NORTH DAKOTA","38",11000,485000,8500,27000,6,2.8,7.8,NA,0.9,NA,28,8000,2,485000
"261",2021,"OCT THRU DEC","OHIO","39",300,17000,460,1600,9,NA,1.5,2.5,10.9,6.6,36.6,460,3,13500
"262",2021,"OCT THRU DEC","OKLAHOMA","40",230,21000,190,1400,7,NA,NA,0.5,3.2,0.8,5.6,950,5,3300
"263",2021,"OCT THRU DEC","OREGON","41",680,103000,6000,10500,10,8.7,1.3,2,23.3,NA,28.8,29000,28,103000
"264",2021,"OCT THRU DEC","OTHER STATES",NA,140,8990,NA,510,6,0.9,4.2,NA,NA,NA,14.2,110,1,8990
"265",2021,"OCT THRU DEC","PENNSYLVANIA","42",250,26000,830,2400,9,3.5,7,3.4,8.2,1.1,30.3,150,1,26000
"266",2021,"OCT THRU DEC","SOUTH CAROLINA","45",70,21000,120,3200,15,NA,0.8,11.3,5.5,2,28.1,150,1,20000
"267",2021,"OCT THRU DEC","SOUTH DAKOTA","46",1400,190000,1300,11500,6,NA,1.7,7.4,9,1.6,45.8,120,NA,190000
"268",2021,"OCT THRU DEC","TENNESSEE","47",20,15500,280,1400,9,0.5,2.5,1.4,5.1,1,33.5,1200,8,15500
"269",2021,"OCT THRU DEC","TEXAS","48",2100,290000,2600,23000,8,1.2,4.1,9.8,8.3,5.5,19.4,1700,1,146000
"270",2021,"OCT THRU DEC","UTAH","49",1500,37000,310,3200,9,0.7,2,0.7,0.7,4.7,4.8,1400,4,37000
"271",2021,"OCT THRU DEC","VERMONT","50",0,7000,20,40,1,NA,NA,0,0.6,0.8,16.1,50,1,7000
"272",2021,"OCT THRU DEC","VIRGINIA","51",160,8500,280,930,11,0.8,5.2,0.5,19.1,3.2,31.8,210,2,8500
"273",2021,"OCT THRU DEC","WASHINGTON","53",1400,83000,4500,6500,8,2,7.6,2.5,2.7,0.8,42.3,2300,3,79000
"274",2021,"OCT THRU DEC","WEST VIRGINIA","54",10,7500,260,560,7,0.6,1,1.9,6.3,3.1,13.8,100,1,7500
"275",2021,"OCT THRU DEC","WISCONSIN","55",1100,47000,1600,5500,12,0.5,2.5,0.7,NA,0.7,28.4,150,NA,47000
"276",2021,"OCT THRU DEC","WYOMING","56",660,22000,870,2400,11,9.3,2.3,0,2.3,0.6,14.7,560,3,21000
"277",2020,"APR THRU JUN","ALABAMA","01",4700,8500,410,4100,48,1.6,7.9,7.7,18,9.5,28.5,2600,31,8500
"278",2020,"APR THRU JUN","ARIZONA","04",14500,26000,140,1300,5,NA,5.5,4.2,0,0.6,22.1,4700,18,26000
"279",2020,"APR THRU JUN","ARKANSAS","05",4900,17000,900,1800,11,5.1,2.1,24.6,15.3,12.4,40.5,800,5,17000
"280",2020,"APR THRU JUN","CALIFORNIA","06",175000,1200000,3200,1e+05,8,3.9,7.6,5.5,4.8,3.1,33.6,240000,20,1200000
"281",2020,"APR THRU JUN","COLORADO","08",7000,27000,310,2100,8,NA,0.5,0,NA,2.5,35.4,2800,10,16500
"282",2020,"APR THRU JUN","CONNECTICUT","09",1200,4300,0,30,1,0,0.1,0,2.1,0.6,14.8,450,10,3900
"283",2020,"APR THRU JUN","FLORIDA","12",25000,310000,12000,40000,13,3.4,5.9,5.8,16,7.9,33.1,18500,6,310000
"284",2020,"APR THRU JUN","GEORGIA","13",18500,147000,3300,10000,7,6.9,7.9,2.9,19.6,13.4,47.9,20000,14,145000
"285",2020,"APR THRU JUN","HAWAII","15",3000,15500,0,0,0,1,1.1,0,41.1,0,43.1,2300,15,15500
"286",2020,"APR THRU JUN","IDAHO","16",22000,81000,2400,18000,22,11.1,6.9,8.6,10.9,5.8,44.2,29000,36,48000
"287",2020,"APR THRU JUN","ILLINOIS","17",4200,12000,190,1500,13,1,11.9,8.3,8.2,4,23.5,1700,14,12000
"288",2020,"APR THRU JUN","INDIANA","18",4500,12000,30,920,8,1.8,5.4,20.2,12.5,1.5,26.8,1800,15,11000
"289",2020,"APR THRU JUN","IOWA","19",17000,29000,440,3600,12,16.6,3.5,0.8,24.7,0.5,30.6,4700,16,21000
"290",2020,"APR THRU JUN","KANSAS","20",1900,8000,270,680,9,24,28.9,32.8,34.1,14.3,68.4,1800,23,7500
"291",2020,"APR THRU JUN","KENTUCKY","21",4200,11000,120,1200,11,NA,2.9,1.2,10.9,3.2,18.3,3500,32,11000
"292",2020,"APR THRU JUN","LOUISIANA","22",2300,53000,650,1800,3,0.5,3.5,NA,4.7,1.3,23.7,4700,9,53000
"293",2020,"APR THRU JUN","MAINE","23",520,22000,0,700,3,26.8,0.5,0,NA,0,47.1,110,1,1600
"294",2020,"APR THRU JUN","MARYLAND","24",4400,8000,0,670,8,0.1,3.2,1.1,1.1,0.5,14.3,1700,21,7000
"295",2020,"APR THRU JUN","MASSACHUSETTS","25",870,13500,40,630,5,NA,1.1,NA,2.1,NA,14.7,540,4,4400
"296",2020,"APR THRU JUN","MICHIGAN","26",11000,85000,420,1500,2,2.2,3.2,6,11.5,1.1,38,10000,12,64000
"297",2020,"APR THRU JUN","MINNESOTA","27",9000,126000,870,13000,10,0.7,4.4,8.8,2.9,NA,20.6,2600,2,59000
"298",2020,"APR THRU JUN","MISSISSIPPI","28",1500,37000,260,4500,12,0,8.5,0.9,57.8,NA,93.1,570,2,34000
"299",2020,"APR THRU JUN","MISSOURI","29",2800,6500,200,390,6,5.7,11.2,3.1,1.5,1.9,17.4,1200,18,6500
"300",2020,"APR THRU JUN","MONTANA","30",18000,120000,1500,2000,2,5.9,4.6,0,5.6,NA,12.1,16000,13,48000
"301",2020,"APR THRU JUN","NEBRASKA","31",7000,41000,700,1900,5,4.8,NA,12.2,1.1,2.7,17.5,1100,3,16500
"302",2020,"APR THRU JUN","NEW JERSEY","34",1500,21000,10,710,3,21.5,21.7,NA,0.8,NA,15.4,650,3,7000
"303",2020,"APR THRU JUN","NEW MEXICO","35",400,6000,0,1000,17,NA,NA,NA,NA,NA,3,40,1,3100
"304",2020,"APR THRU JUN","NEW YORK","36",6000,58000,20,4000,7,0.6,3.5,NA,2.5,0.5,20.7,2800,5,34000
"305",2020,"APR THRU JUN","NORTH CAROLINA","37",6000,25000,290,1600,6,1.9,1.8,0,5.5,1.4,23,1300,5,24000
"306",2020,"APR THRU JUN","NORTH DAKOTA","38",53000,415000,9000,20000,5,2.5,3,3.1,1.7,1.9,28.8,38000,9,67000
"307",2020,"APR THRU JUN","OHIO","39",9500,16500,130,1700,10,6.2,7.3,5.8,12,13.3,23.8,3700,22,15500
"308",2020,"APR THRU JUN","OKLAHOMA","40",6000,16000,40,1500,9,NA,15.1,0.9,3.9,5.1,16.2,3100,19,16000
"309",2020,"APR THRU JUN","OREGON","41",11000,96000,1500,2500,3,7.5,5.9,2.2,1.7,0.7,28,19000,20,89000
"310",2020,"APR THRU JUN","OTHER STATES",NA,1400,9840,NA,260,3,0.5,NA,0,0.8,NA,12.8,1500,15,6500
"311",2020,"APR THRU JUN","PENNSYLVANIA","42",5500,28000,120,930,3,1.4,3.3,NA,2.6,1.3,26.6,1500,5,24000
"312",2020,"APR THRU JUN","SOUTH CAROLINA","45",2700,18500,310,1700,9,0.5,5.7,NA,6.2,0.5,29.1,2500,14,18500
"313",2020,"APR THRU JUN","SOUTH DAKOTA","46",10000,220000,2800,4600,2,4.8,52.5,NA,46.4,5.3,53.3,14500,7,9500
"314",2020,"APR THRU JUN","TENNESSEE","47",4200,13500,210,1200,9,NA,3.3,6.8,7.8,3,31.2,3200,24,13500
"315",2020,"APR THRU JUN","TEXAS","48",15000,385000,4100,35000,9,3.3,5.7,4.6,7.7,5.8,30.2,136000,35,360000
"316",2020,"APR THRU JUN","UTAH","49",8500,31000,130,2800,9,NA,NA,13.1,0,7.7,38.4,13000,42,21000
"317",2020,"APR THRU JUN","VERMONT","50",680,7000,0,200,3,0.1,1.1,0,0.5,0,10.7,110,2,7000
"318",2020,"APR THRU JUN","VIRGINIA","51",4800,8000,170,1200,15,NA,7.9,NA,7.9,1.1,33.7,1300,16,7500
"319",2020,"APR THRU JUN","WASHINGTON","53",5000,114000,370,3500,3,0.7,1.3,1,NA,NA,10.6,3300,3,50000
"320",2020,"APR THRU JUN","WEST VIRGINIA","54",1600,7500,130,570,8,0.7,2.8,0.5,1.8,1.9,46.2,1500,20,7500
"321",2020,"APR THRU JUN","WISCONSIN","55",14000,55000,90,1700,3,25,25.8,25.1,27.3,26.1,46.1,4600,8,27000
"322",2020,"APR THRU JUN","WYOMING","56",4400,30000,500,2000,7,0.1,3.5,1.1,NA,1.2,28.8,2100,7,17500
"323",2020,"JAN THRU MAR","ALABAMA","01",1900,7000,70,410,6,0,1.7,0.1,3.4,4.3,12.4,780,11,5500
"324",2020,"JAN THRU MAR","ARIZONA","04",3000,31000,4300,8500,27,NA,10.1,0,NA,9,31.7,120,NA,29000
"325",2020,"JAN THRU MAR","ARKANSAS","05",1800,16500,390,1600,10,NA,NA,2.6,22.7,11.2,31.7,30,NA,16500
"326",2020,"JAN THRU MAR","CALIFORNIA","06",240000,1710000,19000,230000,13,5,5.3,5.3,6,4.2,22.4,66000,4,1350000
"327",2020,"JAN THRU MAR","COLORADO","08",4000,13000,620,670,5,NA,10.8,NA,0,2.4,20.8,500,4,4500
"328",2020,"JAN THRU MAR","CONNECTICUT","09",360,3800,10,330,9,NA,2.8,0,2.9,3,11.2,NA,0,3700
"329",2020,"JAN THRU MAR","FLORIDA","12",41000,305000,11500,30000,10,5.5,8.7,5.3,14.2,10.9,28,8000,3,295000
"330",2020,"JAN THRU MAR","GEORGIA","13",41000,119000,8500,14500,12,NA,NA,NA,3.4,7.5,50.9,22000,18,115000
"331",2020,"JAN THRU MAR","HAWAII","15",1300,16000,260,1800,11,NA,NA,0,60.8,NA,75.3,2200,14,16000
"332",2020,"JAN THRU MAR","IDAHO","16",4400,168000,5500,18500,11,NA,2.1,2.8,0.8,1.9,10.4,920,1,156000
"333",2020,"JAN THRU MAR","ILLINOIS","17",2900,11500,520,2400,21,NA,7.3,0,8.9,10,17.2,160,1,11500
"334",2020,"JAN THRU MAR","INDIANA","18",1500,11000,210,1600,15,NA,1.9,2.9,0.5,6.2,8.2,420,4,11000
"335",2020,"JAN THRU MAR","IOWA","19",6000,17000,620,1600,9,0,5.7,NA,1.9,5.5,22.3,420,2,9000
"336",2020,"JAN THRU MAR","KANSAS","20",2000,6500,700,760,12,7.8,3.1,7.8,8.1,11.3,13.3,130,2,4500
"337",2020,"JAN THRU MAR","KENTUCKY","21",1400,11000,140,1200,11,2,7.6,NA,2.6,6.5,17.4,120,1,7000
"338",2020,"JAN THRU MAR","LOUISIANA","22",9000,48000,640,4800,10,0.7,1.4,1.2,7,0.6,26.5,20000,42,44000
"339",2020,"JAN THRU MAR","MAINE","23",460,1300,60,160,12,0.7,2.2,0,1.2,3,19.6,NA,0,1300
"340",2020,"JAN THRU MAR","MARYLAND","24",1900,7000,380,1900,27,NA,8.5,0,1.5,2.4,19.9,30,NA,7000
"341",2020,"JAN THRU MAR","MASSACHUSETTS","25",1100,3800,150,470,12,1.8,4.5,NA,0.5,2.2,13.9,100,3,3800
"342",2020,"JAN THRU MAR","MICHIGAN","26",10000,60000,1400,7000,12,NA,NA,NA,0.5,0.7,8.1,100,NA,60000
"343",2020,"JAN THRU MAR","MINNESOTA","27",1300,58000,6500,920,2,0,4.3,NA,0,NA,3.5,40,NA,21000
"344",2020,"JAN THRU MAR","MISSISSIPPI","28",16000,28000,800,5000,18,NA,14.5,1.8,50.9,3.6,58.6,660,2,26000
"345",2020,"JAN THRU MAR","MISSOURI","29",3400,8500,160,5500,65,0.9,2.1,1.6,3.4,3.4,8.4,0,0,8500
"346",2020,"JAN THRU MAR","MONTANA","30",500,47000,4500,150,NA,0,0.5,0,0,NA,4,NA,0,18000
"347",2020,"JAN THRU MAR","NEBRASKA","31",70,17000,1500,670,4,NA,NA,0,NA,0.8,2.2,NA,0,9000
"348",2020,"JAN THRU MAR","NEW JERSEY","34",800,6500,60,430,7,0.5,3.2,NA,2.9,2.3,9.4,40,1,6500
"349",2020,"JAN THRU MAR","NEW MEXICO","35",120,6000,0,40,1,0,0.7,0,0,NA,2.1,0,0,6000
"350",2020,"JAN THRU MAR","NEW YORK","36",230,36000,940,2500,7,0,1.7,0,2.9,7.7,6.6,370,1,29000
"351",2020,"JAN THRU MAR","NORTH CAROLINA","37",2600,24000,1900,2500,10,4.8,1.4,0.6,7.1,5.1,35.7,490,2,15000
"352",2020,"JAN THRU MAR","NORTH DAKOTA","38",0,82000,11500,7500,9,0,3.1,0,0,0,0.6,NA,0,53000
"353",2020,"JAN THRU MAR","OHIO","39",840,21000,3900,6000,29,1.1,3,NA,3.6,13.4,17.6,1100,5,15500
"354",2020,"JAN THRU MAR","OKLAHOMA","40",5000,19500,60,700,4,NA,NA,0.5,0.6,NA,11.4,NA,0,19500
"355",2020,"JAN THRU MAR","OREGON","41",9000,108000,950,4800,4,10.8,1.3,14.5,10.4,NA,24.4,1700,2,97000
"356",2020,"JAN THRU MAR","OTHER STATES",NA,560,7800,NA,440,6,NA,0.8,0,0,NA,5.8,20,NA,7800
"357",2020,"JAN THRU MAR","PENNSYLVANIA","42",370,26000,430,2100,8,2.8,2.7,1.8,3.9,3.2,15.5,320,1,18500
"358",2020,"JAN THRU MAR","SOUTH CAROLINA","45",2700,17000,160,1400,8,9.6,6.4,NA,11.5,5.4,15.5,1100,6,13000
"359",2020,"JAN THRU MAR","SOUTH DAKOTA","46",20,20000,1100,1200,6,0,NA,2.1,NA,NA,14.7,NA,0,20000
"360",2020,"JAN THRU MAR","TENNESSEE","47",2200,14000,410,2700,19,1,4.1,0,17.3,7.8,18.9,130,1,8000
"361",2020,"JAN THRU MAR","TEXAS","48",83000,340000,4200,35000,10,1.3,5.2,3.4,6.8,4.6,12.2,24000,7,235000
"362",2020,"JAN THRU MAR","UTAH","49",3000,19000,960,1100,6,17.1,15.7,2.3,17.2,22.4,38.9,NA,0,12000
"363",2020,"JAN THRU MAR","VERMONT","50",500,7000,60,520,7,0.6,2,0.9,0.8,3.1,9.1,70,1,6500
"364",2020,"JAN THRU MAR","VIRGINIA","51",1600,7000,370,1100,16,NA,3.8,NA,10.6,3.5,17.5,60,1,6000
"365",2020,"JAN THRU MAR","WASHINGTON","53",580,74000,6500,1500,2,NA,NA,0.5,NA,NA,1.7,150,NA,49000
"366",2020,"JAN THRU MAR","WEST VIRGINIA","54",600,8000,200,1100,14,1.3,2.6,0.6,7,NA,17.3,680,9,6000
"367",2020,"JAN THRU MAR","WISCONSIN","55",700,28000,1600,1900,7,NA,2.7,NA,1.9,3.1,9,370,1,16000
"368",2020,"JAN THRU MAR","WYOMING","56",450,17000,1500,140,1,0.1,0.8,0,NA,1.7,NA,60,NA,4000
"369",2020,"JUL THRU SEP","ALABAMA","01",1800,19000,240,3700,19,0,5.4,12,29.1,11.7,64.9,990,5,9000
"370",2020,"JUL THRU SEP","ARIZONA","04",2600,30000,5500,8000,27,1.9,9.3,1.7,NA,12.2,24.1,1800,6,28000
"371",2020,"JUL THRU SEP","ARKANSAS","05",1500,22000,900,1700,8,3.9,1.3,13.9,15.6,8.6,33.9,390,2,19000
"372",2020,"JUL THRU SEP","CALIFORNIA","06",61000,7e+05,10500,69000,10,7.3,8.1,6.3,11.4,3.6,33.9,108000,15,640000
"373",2020,"JUL THRU SEP","COLORADO","08",3800,29000,70,7000,24,NA,6.3,0,1.1,19.8,23.1,5500,19,29000
"374",2020,"JUL THRU SEP","CONNECTICUT","09",130,4700,80,300,6,0,4,0,1.4,0,20.2,150,3,4700
"375",2020,"JUL THRU SEP","FLORIDA","12",36000,230000,10000,29000,13,12.8,7.9,14.8,19.9,10.9,42.2,31000,13,220000
"376",2020,"JUL THRU SEP","GEORGIA","13",22000,163000,10000,23000,14,3.5,5.3,3.4,22.5,13,49.6,35000,21,150000
"377",2020,"JUL THRU SEP","HAWAII","15",4000,18500,30,500,3,NA,0.5,NA,63.5,NA,62.7,3400,18,18500
"378",2020,"JUL THRU SEP","IDAHO","16",18500,85000,1900,11000,13,6.7,9,10.9,2.6,3.8,45,8500,10,70000
"379",2020,"JUL THRU SEP","ILLINOIS","17",770,14000,180,1400,10,1.8,6.6,4.9,15.6,8.4,28.1,690,5,14000
