"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","Year","Period","State"
"23,000",2020,"FIRST OF OCT","WYOMING"
NA,2020,"JAN THRU MAR","CONNECTICUT"
NA,2020,"JAN THRU MAR","MAINE"
NA,2020,"JAN THRU MAR","MONTANA"
NA,2020,"JAN THRU MAR","NEBRASKA"
NA,2020,"JAN THRU MAR","NORTH DAKOTA"
NA,2020,"JAN THRU MAR","OKLAHOMA"
NA,2020,"JAN THRU MAR","SOUTH DAKOTA"
NA,2020,"JAN THRU MAR","UTAH"
"7,000",2020,"MARKETING YEAR","ALABAMA"
"25,000",2020,"MARKETING YEAR","ARIZONA"
"20,000",2020,"MARKETING YEAR","ARKANSAS"
"320,000",2020,"MARKETING YEAR","CALIFORNIA"
"30,000",2020,"MARKETING YEAR","COLORADO"
"192,000",2020,"MARKETING YEAR","FLORIDA"
"101,000",2020,"MARKETING YEAR","GEORGIA"
"15,000",2020,"MARKETING YEAR","HAWAII"
"107,000",2020,"MARKETING YEAR","IDAHO"
"10,000",2020,"MARKETING YEAR","ILLINOIS"
"9,000",2020,"MARKETING YEAR","INDIANA"
"35,000",2020,"MARKETING YEAR","IOWA"
"8,000",2020,"MARKETING YEAR","KANSAS"
"7,000",2020,"MARKETING YEAR","KENTUCKY"
"33,000",2020,"MARKETING YEAR","LOUISIANA"
"10,000",2020,"MARKETING YEAR","MAINE"
"95,000",2020,"MARKETING YEAR","MICHIGAN"
"108,000",2020,"MARKETING YEAR","MINNESOTA"
"25,000",2020,"MARKETING YEAR","MISSISSIPPI"
"9,000",2020,"MARKETING YEAR","MISSOURI"
"110,000",2020,"MARKETING YEAR","MONTANA"
"37,000",2020,"MARKETING YEAR","NEBRASKA"
"14,000",2020,"MARKETING YEAR","NEW JERSEY"
"58,000",2020,"MARKETING YEAR","NEW YORK"
"12,000",2020,"MARKETING YEAR","NORTH CAROLINA"
"495,000",2020,"MARKETING YEAR","NORTH DAKOTA"
"16,000",2020,"MARKETING YEAR","OHIO"
"95,000",2020,"MARKETING YEAR","OREGON"
"33,000",2020,"MARKETING YEAR","OTHER STATES"
"19,000",2020,"MARKETING YEAR","PENNSYLVANIA"
"16,000",2020,"MARKETING YEAR","SOUTH CAROLINA"
"245,000",2020,"MARKETING YEAR","SOUTH DAKOTA"
"7,000",2020,"MARKETING YEAR","TENNESSEE"
"157,000",2020,"MARKETING YEAR","TEXAS"
"28,000",2020,"MARKETING YEAR","UTAH"
"6,000",2020,"MARKETING YEAR","VERMONT"
"5,000",2020,"MARKETING YEAR","VIRGINIA"
"98,000",2020,"MARKETING YEAR","WASHINGTON"
"6,000",2020,"MARKETING YEAR","WEST VIRGINIA"
"45,000",2020,"MARKETING YEAR","WISCONSIN"
"38,000",2020,"MARKETING YEAR","WYOMING"
NA,2020,"OCT THRU DEC","NORTH DAKOTA"
NA,2020,"OCT THRU DEC","OKLAHOMA"
NA,2020,"OCT THRU DEC","VERMONT"
"5,500",2019,"FIRST OF JAN","ALABAMA"
"22,000",2019,"FIRST OF JAN","ARIZONA"
"28,000",2019,"FIRST OF JAN","ARKANSAS"
"1,140,000",2019,"FIRST OF JAN","CALIFORNIA"
"5,000",2019,"FIRST OF JAN","COLORADO"
"3,100",2019,"FIRST OF JAN","CONNECTICUT"
"300,000",2019,"FIRST OF JAN","FLORIDA"
"120,000",2019,"FIRST OF JAN","GEORGIA"
"16,500",2019,"FIRST OF JAN","HAWAII"
"132,000",2019,"FIRST OF JAN","IDAHO"
"9,000",2019,"FIRST OF JAN","ILLINOIS"
"6,000",2019,"FIRST OF JAN","INDIANA"
"7,500",2019,"FIRST OF JAN","IOWA"
"4,500",2019,"FIRST OF JAN","KANSAS"
"3,700",2019,"FIRST OF JAN","KENTUCKY"
"49,000",2019,"FIRST OF JAN","LOUISIANA"
"7,000",2019,"FIRST OF JAN","MAINE"
"8,000",2019,"FIRST OF JAN","MARYLAND"
"3,800",2019,"FIRST OF JAN","MASSACHUSETTS"
"24,000",2019,"FIRST OF JAN","MICHIGAN"
"17,000",2019,"FIRST OF JAN","MINNESOTA"
"26,000",2019,"FIRST OF JAN","MISSISSIPPI"
"8,500",2019,"FIRST OF JAN","MISSOURI"
"37,000",2019,"FIRST OF JAN","MONTANA"
"13,500",2019,"FIRST OF JAN","NEBRASKA"
"6,000",2019,"FIRST OF JAN","NEW JERSEY"
"4,800",2019,"FIRST OF JAN","NEW MEXICO"
"24,000",2019,"FIRST OF JAN","NEW YORK"
"10,500",2019,"FIRST OF JAN","NORTH CAROLINA"
"92,000",2019,"FIRST OF JAN","NORTH DAKOTA"
"10,500",2019,"FIRST OF JAN","OHIO"
"21,000",2019,"FIRST OF JAN","OKLAHOMA"
"89,000",2019,"FIRST OF JAN","OREGON"
"6,070",2019,"FIRST OF JAN","OTHER STATES"
"15,000",2019,"FIRST OF JAN","PENNSYLVANIA"
"12,000",2019,"FIRST OF JAN","SOUTH CAROLINA"
"18,500",2019,"FIRST OF JAN","SOUTH DAKOTA"
"6,000",2019,"FIRST OF JAN","TENNESSEE"
"260,000",2019,"FIRST OF JAN","TEXAS"
"8,500",2019,"FIRST OF JAN","UTAH"
"6,500",2019,"FIRST OF JAN","VERMONT"
"5,500",2019,"FIRST OF JAN","VIRGINIA"
"51,000",2019,"FIRST OF JAN","WASHINGTON"
"5,000",2019,"FIRST OF JAN","WEST VIRGINIA"
"16,500",2019,"FIRST OF JAN","WISCONSIN"
"6,500",2019,"FIRST OF JAN","WYOMING"
"7,000",2019,"FIRST OF JUL","ALABAMA"
"26,000",2019,"FIRST OF JUL","ARIZONA"
"20,000",2019,"FIRST OF JUL","ARKANSAS"
"650,000",2019,"FIRST OF JUL","CALIFORNIA"
"33,000",2019,"FIRST OF JUL","COLORADO"
"4,400",2019,"FIRST OF JUL","CONNECTICUT"
"210,000",2019,"FIRST OF JUL","FLORIDA"
"116,000",2019,"FIRST OF JUL","GEORGIA"
"17,000",2019,"FIRST OF JUL","HAWAII"
"95,000",2019,"FIRST OF JUL","IDAHO"
"13,500",2019,"FIRST OF JUL","ILLINOIS"
"14,000",2019,"FIRST OF JUL","INDIANA"
"30,000",2019,"FIRST OF JUL","IOWA"
"7,500",2019,"FIRST OF JUL","KANSAS"
"8,000",2019,"FIRST OF JUL","KENTUCKY"
"42,000",2019,"FIRST OF JUL","LOUISIANA"
"11,500",2019,"FIRST OF JUL","MAINE"
"7,500",2019,"FIRST OF JUL","MARYLAND"
"13,500",2019,"FIRST OF JUL","MASSACHUSETTS"
"94,000",2019,"FIRST OF JUL","MICHIGAN"
"126,000",2019,"FIRST OF JUL","MINNESOTA"
"23,000",2019,"FIRST OF JUL","MISSISSIPPI"
"10,500",2019,"FIRST OF JUL","MISSOURI"
"147,000",2019,"FIRST OF JUL","MONTANA"
"40,000",2019,"FIRST OF JUL","NEBRASKA"
"16,000",2019,"FIRST OF JUL","NEW JERSEY"
"2,400",2019,"FIRST OF JUL","NEW MEXICO"
"65,000",2019,"FIRST OF JUL","NEW YORK"
"22,000",2019,"FIRST OF JUL","NORTH CAROLINA"
"530,000",2019,"FIRST OF JUL","NORTH DAKOTA"
"19,500",2019,"FIRST OF JUL","OHIO"
"7,500",2019,"FIRST OF JUL","OKLAHOMA"
"83,000",2019,"FIRST OF JUL","OREGON"
"13,660",2019,"FIRST OF JUL","OTHER STATES"
"19,000",2019,"FIRST OF JUL","PENNSYLVANIA"
"14,500",2019,"FIRST OF JUL","SOUTH CAROLINA"
"255,000",2019,"FIRST OF JUL","SOUTH DAKOTA"
"14,000",2019,"FIRST OF JUL","TENNESSEE"
"126,000",2019,"FIRST OF JUL","TEXAS"
"24,000",2019,"FIRST OF JUL","UTAH"
"7,000",2019,"FIRST OF JUL","VERMONT"
"9,000",2019,"FIRST OF JUL","VIRGINIA"
"85,000",2019,"FIRST OF JUL","WASHINGTON"
"10,000",2019,"FIRST OF JUL","WEST VIRGINIA"
"63,000",2019,"FIRST OF JUL","WISCONSIN"
"24,000",2019,"FIRST OF JUL","WYOMING"
"6,000",2019,"FIRST OF OCT","ALABAMA"
"34,000",2019,"FIRST OF OCT","ARIZONA"
"19,000",2019,"FIRST OF OCT","ARKANSAS"
"700,000",2019,"FIRST OF OCT","CALIFORNIA"
"27,000",2019,"FIRST OF OCT","COLORADO"
"3,800",2019,"FIRST OF OCT","CONNECTICUT"
"270,000",2019,"FIRST OF OCT","FLORIDA"
"119,000",2019,"FIRST OF OCT","GEORGIA"
"17,000",2019,"FIRST OF OCT","HAWAII"
"111,000",2019,"FIRST OF OCT","IDAHO"
"13,000",2019,"FIRST OF OCT","ILLINOIS"
"17,500",2019,"FIRST OF OCT","INDIANA"
"32,000",2019,"FIRST OF OCT","IOWA"
"4,800",2019,"FIRST OF OCT","KANSAS"
"8,500",2019,"FIRST OF OCT","KENTUCKY"
"41,000",2019,"FIRST OF OCT","LOUISIANA"
"11,500",2019,"FIRST OF OCT","MAINE"
"6,500",2019,"FIRST OF OCT","MARYLAND"
"5,000",2019,"FIRST OF OCT","MASSACHUSETTS"
"84,000",2019,"FIRST OF OCT","MICHIGAN"
"97,000",2019,"FIRST OF OCT","MINNESOTA"
"21,000",2019,"FIRST OF OCT","MISSISSIPPI"
"9,000",2019,"FIRST OF OCT","MISSOURI"
"71,000",2019,"FIRST OF OCT","MONTANA"
"37,000",2019,"FIRST OF OCT","NEBRASKA"
"15,500",2019,"FIRST OF OCT","NEW JERSEY"
"6,000",2019,"FIRST OF OCT","NEW MEXICO"
"65,000",2019,"FIRST OF OCT","NEW YORK"
"17,500",2019,"FIRST OF OCT","NORTH CAROLINA"
"420,000",2019,"FIRST OF OCT","NORTH DAKOTA"
"19,000",2019,"FIRST OF OCT","OHIO"
"6,500",2019,"FIRST OF OCT","OKLAHOMA"
"115,000",2019,"FIRST OF OCT","OREGON"
"11,010",2019,"FIRST OF OCT","OTHER STATES"
"21,000",2019,"FIRST OF OCT","PENNSYLVANIA"
"12,500",2019,"FIRST OF OCT","SOUTH CAROLINA"
"189,000",2019,"FIRST OF OCT","SOUTH DAKOTA"
"11,000",2019,"FIRST OF OCT","TENNESSEE"
"129,000",2019,"FIRST OF OCT","TEXAS"
"30,000",2019,"FIRST OF OCT","UTAH"
"7,000",2019,"FIRST OF OCT","VERMONT"
"8,000",2019,"FIRST OF OCT","VIRGINIA"
"89,000",2019,"FIRST OF OCT","WASHINGTON"
"7,500",2019,"FIRST OF OCT","WEST VIRGINIA"
"46,000",2019,"FIRST OF OCT","WISCONSIN"
"27,000",2019,"FIRST OF OCT","WYOMING"
"7,000",2019,"MARKETING YEAR","ALABAMA"
"23,000",2019,"MARKETING YEAR","ARIZONA"
"20,000",2019,"MARKETING YEAR","ARKANSAS"
"335,000",2019,"MARKETING YEAR","CALIFORNIA"
"32,000",2019,"MARKETING YEAR","COLORADO"
"205,000",2019,"MARKETING YEAR","FLORIDA"
"102,000",2019,"MARKETING YEAR","GEORGIA"
"16,000",2019,"MARKETING YEAR","HAWAII"
"92,000",2019,"MARKETING YEAR","IDAHO"
"11,000",2019,"MARKETING YEAR","ILLINOIS"
"9,000",2019,"MARKETING YEAR","INDIANA"
"38,000",2019,"MARKETING YEAR","IOWA"
"7,000",2019,"MARKETING YEAR","KANSAS"
"6,000",2019,"MARKETING YEAR","KENTUCKY"
"54,000",2019,"MARKETING YEAR","LOUISIANA"
"15,000",2019,"MARKETING YEAR","MAINE"
"94,000",2019,"MARKETING YEAR","MICHIGAN"
"118,000",2019,"MARKETING YEAR","MINNESOTA"
"22,000",2019,"MARKETING YEAR","MISSISSIPPI"
"10,000",2019,"MARKETING YEAR","MISSOURI"
"173,000",2019,"MARKETING YEAR","MONTANA"
"39,000",2019,"MARKETING YEAR","NEBRASKA"
"15,000",2019,"MARKETING YEAR","NEW JERSEY"
"59,000",2019,"MARKETING YEAR","NEW YORK"
"14,000",2019,"MARKETING YEAR","NORTH CAROLINA"
"520,000",2019,"MARKETING YEAR","NORTH DAKOTA"
"15,000",2019,"MARKETING YEAR","OHIO"
"87,000",2019,"MARKETING YEAR","OREGON"
"30,000",2019,"MARKETING YEAR","OTHER STATES"
"19,000",2019,"MARKETING YEAR","PENNSYLVANIA"
"16,000",2019,"MARKETING YEAR","SOUTH CAROLINA"
"270,000",2019,"MARKETING YEAR","SOUTH DAKOTA"
"8,000",2019,"MARKETING YEAR","TENNESSEE"
"126,000",2019,"MARKETING YEAR","TEXAS"
"22,000",2019,"MARKETING YEAR","UTAH"
"6,000",2019,"MARKETING YEAR","VERMONT"
"5,000",2019,"MARKETING YEAR","VIRGINIA"
"81,000",2019,"MARKETING YEAR","WASHINGTON"
"6,000",2019,"MARKETING YEAR","WEST VIRGINIA"
"46,000",2019,"MARKETING YEAR","WISCONSIN"
"39,000",2019,"MARKETING YEAR","WYOMING"
NA,2019,"OCT THRU DEC","OKLAHOMA"
"7,000",2018,"FIRST OF APR","ALABAMA"
"19,000",2018,"FIRST OF APR","ARIZONA"
"14,500",2018,"FIRST OF APR","ARKANSAS"
"1,130,000",2018,"FIRST OF APR","CALIFORNIA"
"16,500",2018,"FIRST OF APR","COLORADO"
"3,600",2018,"FIRST OF APR","CONNECTICUT"
"250,000",2018,"FIRST OF APR","FLORIDA"
"131,000",2018,"FIRST OF APR","GEORGIA"
"16,500",2018,"FIRST OF APR","HAWAII"
"59,000",2018,"FIRST OF APR","IDAHO"
"10,000",2018,"FIRST OF APR","ILLINOIS"
"8,000",2018,"FIRST OF APR","INDIANA"
"45,000",2018,"FIRST OF APR","IOWA"
"3,900",2018,"FIRST OF APR","KANSAS"
"5,500",2018,"FIRST OF APR","KENTUCKY"
"48,000",2018,"FIRST OF APR","LOUISIANA"
"2,200",2018,"FIRST OF APR","MAINE"
"7,000",2018,"FIRST OF APR","MARYLAND"
"3,500",2018,"FIRST OF APR","MASSACHUSETTS"
"37,000",2018,"FIRST OF APR","MICHIGAN"
"69,000",2018,"FIRST OF APR","MINNESOTA"
"50,000",2018,"FIRST OF APR","MISSISSIPPI"
"7,000",2018,"FIRST OF APR","MISSOURI"
"50,000",2018,"FIRST OF APR","MONTANA"
"10,500",2018,"FIRST OF APR","NEBRASKA"
"4,400",2018,"FIRST OF APR","NEW JERSEY"
"1,900",2018,"FIRST OF APR","NEW MEXICO"
"20,000",2018,"FIRST OF APR","NEW YORK"
"16,000",2018,"FIRST OF APR","NORTH CAROLINA"
"74,000",2018,"FIRST OF APR","NORTH DAKOTA"
"11,000",2018,"FIRST OF APR","OHIO"
"15,500",2018,"FIRST OF APR","OKLAHOMA"
"41,000",2018,"FIRST OF APR","OREGON"
"4,380",2018,"FIRST OF APR","OTHER STATES"
"15,500",2018,"FIRST OF APR","PENNSYLVANIA"
"14,000",2018,"FIRST OF APR","SOUTH CAROLINA"
"10,000",2018,"FIRST OF APR","SOUTH DAKOTA"
"8,000",2018,"FIRST OF APR","TENNESSEE"
"305,000",2018,"FIRST OF APR","TEXAS"
"14,500",2018,"FIRST OF APR","UTAH"
"5,500",2018,"FIRST OF APR","VERMONT"
"5,000",2018,"FIRST OF APR","VIRGINIA"
"55,000",2018,"FIRST OF APR","WASHINGTON"
"7,000",2018,"FIRST OF APR","WEST VIRGINIA"
"26,000",2018,"FIRST OF APR","WISCONSIN"
"8,500",2018,"FIRST OF APR","WYOMING"
"7,500",2018,"FIRST OF JAN","ALABAMA"
"25,000",2018,"FIRST OF JAN","ARIZONA"
"22,000",2018,"FIRST OF JAN","ARKANSAS"
"1,150,000",2018,"FIRST OF JAN","CALIFORNIA"
"13,000",2018,"FIRST OF JAN","COLORADO"
"2,900",2018,"FIRST OF JAN","CONNECTICUT"
"245,000",2018,"FIRST OF JAN","FLORIDA"
"134,000",2018,"FIRST OF JAN","GEORGIA"
"17,000",2018,"FIRST OF JAN","HAWAII"
"164,000",2018,"FIRST OF JAN","IDAHO"
"10,500",2018,"FIRST OF JAN","ILLINOIS"
"7,000",2018,"FIRST OF JAN","INDIANA"
"41,000",2018,"FIRST OF JAN","IOWA"
"3,700",2018,"FIRST OF JAN","KANSAS"
"5,500",2018,"FIRST OF JAN","KENTUCKY"
"50,000",2018,"FIRST OF JAN","LOUISIANA"
"1,900",2018,"FIRST OF JAN","MAINE"
"8,000",2018,"FIRST OF JAN","MARYLAND"
"3,700",2018,"FIRST OF JAN","MASSACHUSETTS"
"16,500",2018,"FIRST OF JAN","MICHIGAN"
"39,000",2018,"FIRST OF JAN","MINNESOTA"
"19,000",2018,"FIRST OF JAN","MISSISSIPPI"
"8,000",2018,"FIRST OF JAN","MISSOURI"
"35,000",2018,"FIRST OF JAN","MONTANA"
"6,500",2018,"FIRST OF JAN","NEBRASKA"
"6,500",2018,"FIRST OF JAN","NEW JERSEY"
"7,500",2018,"FIRST OF JAN","NEW MEXICO"
"26,000",2018,"FIRST OF JAN","NEW YORK"
"18,500",2018,"FIRST OF JAN","NORTH CAROLINA"
"66,000",2018,"FIRST OF JAN","NORTH DAKOTA"
"12,000",2018,"FIRST OF JAN","OHIO"
"17,000",2018,"FIRST OF JAN","OKLAHOMA"
"81,000",2018,"FIRST OF JAN","OREGON"
"3,820",2018,"FIRST OF JAN","OTHER STATES"
"14,500",2018,"FIRST OF JAN","PENNSYLVANIA"
"13,500",2018,"FIRST OF JAN","SOUTH CAROLINA"
"23,000",2018,"FIRST OF JAN","SOUTH DAKOTA"
"10,000",2018,"FIRST OF JAN","TENNESSEE"
"205,000",2018,"FIRST OF JAN","TEXAS"
"7,500",2018,"FIRST OF JAN","UTAH"
"5,500",2018,"FIRST OF JAN","VERMONT"
"7,000",2018,"FIRST OF JAN","VIRGINIA"
"44,000",2018,"FIRST OF JAN","WASHINGTON"
"4,700",2018,"FIRST OF JAN","WEST VIRGINIA"
"21,000",2018,"FIRST OF JAN","WISCONSIN"
"5,500",2018,"FIRST OF JAN","WYOMING"
"8,500",2018,"FIRST OF JUL","ALABAMA"
"31,000",2018,"FIRST OF JUL","ARIZONA"
"29,000",2018,"FIRST OF JUL","ARKANSAS"
"590,000",2018,"FIRST OF JUL","CALIFORNIA"
"34,000",2018,"FIRST OF JUL","COLORADO"
"3,200",2018,"FIRST OF JUL","CONNECTICUT"
"197,000",2018,"FIRST OF JUL","FLORIDA"
"134,000",2018,"FIRST OF JUL","GEORGIA"
"16,500",2018,"FIRST OF JUL","HAWAII"
"82,000",2018,"FIRST OF JUL","IDAHO"
"11,000",2018,"FIRST OF JUL","ILLINOIS"
"11,500",2018,"FIRST OF JUL","INDIANA"
"56,000",2018,"FIRST OF JUL","IOWA"
"6,000",2018,"FIRST OF JUL","KANSAS"
"6,500",2018,"FIRST OF JUL","KENTUCKY"
"53,000",2018,"FIRST OF JUL","LOUISIANA"
"12,500",2018,"FIRST OF JUL","MAINE"
"7,500",2018,"FIRST OF JUL","MARYLAND"
"8,000",2018,"FIRST OF JUL","MASSACHUSETTS"
"88,000",2018,"FIRST OF JUL","MICHIGAN"
"121,000",2018,"FIRST OF JUL","MINNESOTA"
"16,500",2018,"FIRST OF JUL","MISSISSIPPI"
"10,000",2018,"FIRST OF JUL","MISSOURI"
"145,000",2018,"FIRST OF JUL","MONTANA"
"52,000",2018,"FIRST OF JUL","NEBRASKA"
"14,000",2018,"FIRST OF JUL","NEW JERSEY"
"6,000",2018,"FIRST OF JUL","NEW MEXICO"
"55,000",2018,"FIRST OF JUL","NEW YORK"
"18,000",2018,"FIRST OF JUL","NORTH CAROLINA"
"455,000",2018,"FIRST OF JUL","NORTH DAKOTA"
"16,000",2018,"FIRST OF JUL","OHIO"
"2,100",2018,"FIRST OF JUL","OKLAHOMA"
"116,000",2018,"FIRST OF JUL","OREGON"
"6,490",2018,"FIRST OF JUL","OTHER STATES"
"20,000",2018,"FIRST OF JUL","PENNSYLVANIA"
"9,500",2018,"FIRST OF JUL","SOUTH CAROLINA"
"168,000",2018,"FIRST OF JUL","SOUTH DAKOTA"
"9,000",2018,"FIRST OF JUL","TENNESSEE"
"112,000",2018,"FIRST OF JUL","TEXAS"
"30,000",2018,"FIRST OF JUL","UTAH"
"7,000",2018,"FIRST OF JUL","VERMONT"
"7,500",2018,"FIRST OF JUL","VIRGINIA"
"76,000",2018,"FIRST OF JUL","WASHINGTON"
"7,500",2018,"FIRST OF JUL","WEST VIRGINIA"
"61,000",2018,"FIRST OF JUL","WISCONSIN"
"33,000",2018,"FIRST OF JUL","WYOMING"
"6,500",2018,"FIRST OF OCT","ALABAMA"
"26,000",2018,"FIRST OF OCT","ARIZONA"
"30,000",2018,"FIRST OF OCT","ARKANSAS"
"680,000",2018,"FIRST OF OCT","CALIFORNIA"
"30,000",2018,"FIRST OF OCT","COLORADO"
"3,500",2018,"FIRST OF OCT","CONNECTICUT"
"240,000",2018,"FIRST OF OCT","FLORIDA"
"148,000",2018,"FIRST OF OCT","GEORGIA"
"16,000",2018,"FIRST OF OCT","HAWAII"
"99,000",2018,"FIRST OF OCT","IDAHO"
"12,000",2018,"FIRST OF OCT","ILLINOIS"
"9,000",2018,"FIRST OF OCT","INDIANA"
"21,000",2018,"FIRST OF OCT","IOWA"
"5,500",2018,"FIRST OF OCT","KANSAS"
"7,000",2018,"FIRST OF OCT","KENTUCKY"
"50,000",2018,"FIRST OF OCT","LOUISIANA"
"12,000",2018,"FIRST OF OCT","MAINE"
"7,000",2018,"FIRST OF OCT","MARYLAND"
"4,900",2018,"FIRST OF OCT","MASSACHUSETTS"
"77,000",2018,"FIRST OF OCT","MICHIGAN"
"84,000",2018,"FIRST OF OCT","MINNESOTA"
"14,500",2018,"FIRST OF OCT","MISSISSIPPI"
"10,000",2018,"FIRST OF OCT","MISSOURI"
"98,000",2018,"FIRST OF OCT","MONTANA"
"45,000",2018,"FIRST OF OCT","NEBRASKA"
"15,500",2018,"FIRST OF OCT","NEW JERSEY"
"8,000",2018,"FIRST OF OCT","NEW MEXICO"
"53,000",2018,"FIRST OF OCT","NEW YORK"
"16,000",2018,"FIRST OF OCT","NORTH CAROLINA"
"430,000",2018,"FIRST OF OCT","NORTH DAKOTA"
"15,500",2018,"FIRST OF OCT","OHIO"
"2,200",2018,"FIRST OF OCT","OKLAHOMA"
"89,000",2018,"FIRST OF OCT","OREGON"
"8,370",2018,"FIRST OF OCT","OTHER STATES"
"21,000",2018,"FIRST OF OCT","PENNSYLVANIA"
"10,000",2018,"FIRST OF OCT","SOUTH CAROLINA"
"140,000",2018,"FIRST OF OCT","SOUTH DAKOTA"
"8,000",2018,"FIRST OF OCT","TENNESSEE"
"116,000",2018,"FIRST OF OCT","TEXAS"
"27,000",2018,"FIRST OF OCT","UTAH"
"6,500",2018,"FIRST OF OCT","VERMONT"
"7,000",2018,"FIRST OF OCT","VIRGINIA"
"75,000",2018,"FIRST OF OCT","WASHINGTON"
"7,000",2018,"FIRST OF OCT","WEST VIRGINIA"
"48,000",2018,"FIRST OF OCT","WISCONSIN"
"30,000",2018,"FIRST OF OCT","WYOMING"
"6,000",2018,"MARKETING YEAR","ALABAMA"
"24,000",2018,"MARKETING YEAR","ARIZONA"
"28,000",2018,"MARKETING YEAR","ARKANSAS"
"335,000",2018,"MARKETING YEAR","CALIFORNIA"
"31,000",2018,"MARKETING YEAR","COLORADO"
"215,000",2018,"MARKETING YEAR","FLORIDA"
"98,000",2018,"MARKETING YEAR","GEORGIA"
"17,000",2018,"MARKETING YEAR","HAWAII"
"96,000",2018,"MARKETING YEAR","IDAHO"
"11,000",2018,"MARKETING YEAR","ILLINOIS"
"7,000",2018,"MARKETING YEAR","INDIANA"
"38,000",2018,"MARKETING YEAR","IOWA"
"5,000",2018,"MARKETING YEAR","KANSAS"
"4,000",2018,"MARKETING YEAR","KENTUCKY"
"45,000",2018,"MARKETING YEAR","LOUISIANA"
"12,000",2018,"MARKETING YEAR","MAINE"
"97,000",2018,"MARKETING YEAR","MICHIGAN"
"119,000",2018,"MARKETING YEAR","MINNESOTA"
"20,000",2018,"MARKETING YEAR","MISSISSIPPI"
"9,000",2018,"MARKETING YEAR","MISSOURI"
"160,000",2018,"MARKETING YEAR","MONTANA"
"40,000",2018,"MARKETING YEAR","NEBRASKA"
"13,000",2018,"MARKETING YEAR","NEW JERSEY"
"56,000",2018,"MARKETING YEAR","NEW YORK"
"10,000",2018,"MARKETING YEAR","NORTH CAROLINA"
"550,000",2018,"MARKETING YEAR","NORTH DAKOTA"
"14,000",2018,"MARKETING YEAR","OHIO"
"93,000",2018,"MARKETING YEAR","OREGON"
"36,000",2018,"MARKETING YEAR","OTHER STATES"
"19,000",2018,"MARKETING YEAR","PENNSYLVANIA"
"16,000",2018,"MARKETING YEAR","SOUTH CAROLINA"
"255,000",2018,"MARKETING YEAR","SOUTH DAKOTA"
"7,000",2018,"MARKETING YEAR","TENNESSEE"
"132,000",2018,"MARKETING YEAR","TEXAS"
"26,000",2018,"MARKETING YEAR","UTAH"
"7,000",2018,"MARKETING YEAR","VERMONT"
"4,000",2018,"MARKETING YEAR","VIRGINIA"
"77,000",2018,"MARKETING YEAR","WASHINGTON"
"6,000",2018,"MARKETING YEAR","WEST VIRGINIA"
"51,000",2018,"MARKETING YEAR","WISCONSIN"
"39,000",2018,"MARKETING YEAR","WYOMING"
"6,500",2017,"FIRST OF APR","ALABAMA"
"22,000",2017,"FIRST OF APR","ARIZONA"
"17,000",2017,"FIRST OF APR","ARKANSAS"
"980,000",2017,"FIRST OF APR","CALIFORNIA"
"16,500",2017,"FIRST OF APR","COLORADO"
"3,000",2017,"FIRST OF APR","CONNECTICUT"
"245,000",2017,"FIRST OF APR","FLORIDA"
"130,000",2017,"FIRST OF APR","GEORGIA"
"12,000",2017,"FIRST OF APR","HAWAII"
"61,000",2017,"FIRST OF APR","IDAHO"
"11,500",2017,"FIRST OF APR","ILLINOIS"
"7,500",2017,"FIRST OF APR","INDIANA"
"12,000",2017,"FIRST OF APR","IOWA"
"3,800",2017,"FIRST OF APR","KANSAS"
"7,000",2017,"FIRST OF APR","KENTUCKY"
"56,000",2017,"FIRST OF APR","LOUISIANA"
"2,200",2017,"FIRST OF APR","MAINE"
"8,000",2017,"FIRST OF APR","MARYLAND"
"2,500",2017,"FIRST OF APR","MASSACHUSETTS"
"55,000",2017,"FIRST OF APR","MICHIGAN"
"32,000",2017,"FIRST OF APR","MINNESOTA"
"89,000",2017,"FIRST OF APR","MISSISSIPPI"
"6,500",2017,"FIRST OF APR","MISSOURI"
"47,000",2017,"FIRST OF APR","MONTANA"
"7,500",2017,"FIRST OF APR","NEBRASKA"
"5,500",2017,"FIRST OF APR","NEW JERSEY"
"7,000",2017,"FIRST OF APR","NEW MEXICO"
"25,000",2017,"FIRST OF APR","NEW YORK"
"24,000",2017,"FIRST OF APR","NORTH CAROLINA"
"115,000",2017,"FIRST OF APR","NORTH DAKOTA"
"13,500",2017,"FIRST OF APR","OHIO"
"17,000",2017,"FIRST OF APR","OKLAHOMA"
"71,000",2017,"FIRST OF APR","OREGON"
"5,650",2017,"FIRST OF APR","OTHER STATES"
"15,500",2017,"FIRST OF APR","PENNSYLVANIA"
"20,000",2017,"FIRST OF APR","SOUTH CAROLINA"
"30,000",2017,"FIRST OF APR","SOUTH DAKOTA"
"8,500",2017,"FIRST OF APR","TENNESSEE"
"345,000",2017,"FIRST OF APR","TEXAS"
"21,000",2017,"FIRST OF APR","UTAH"
"6,000",2017,"FIRST OF APR","VERMONT"
"8,500",2017,"FIRST OF APR","VIRGINIA"
"75,000",2017,"FIRST OF APR","WASHINGTON"
"7,500",2017,"FIRST OF APR","WEST VIRGINIA"
"18,000",2017,"FIRST OF APR","WISCONSIN"
"15,000",2017,"FIRST OF APR","WYOMING"
"7,000",2017,"FIRST OF JAN","ALABAMA"
"31,000",2017,"FIRST OF JAN","ARIZONA"
